Issued To	Issued By	Expiration Date	Intended Purposes	Friendly Name	Status	Certificate Template
172.20.112.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/26/2022	Server Authentication, Client Authentication	<None>	    	
172.20.128.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	2/22/2023	Server Authentication, Client Authentication	<None>	    	
172.20.16.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/20/2022	Server Authentication, Client Authentication	<None>	    	
172.20.176.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	12/5/2022	Server Authentication, Client Authentication	<None>	    	
172.20.192.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	3/3/2023	Server Authentication, Client Authentication	<None>	    	
172.20.208.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	1/27/2023	Server Authentication, Client Authentication	<None>	    	
172.20.224.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/20/2022	Server Authentication, Client Authentication	<None>	    	
172.20.32.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/20/2022	Server Authentication, Client Authentication	<None>	    	
172.20.48.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/29/2022	Server Authentication, Client Authentication	<None>	    	
172.20.96.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/17/2022	Server Authentication, Client Authentication	<None>	    	
172.21.0.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	1/21/2023	Server Authentication, Client Authentication	<None>	    	
172.21.112.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/1/2022	Server Authentication, Client Authentication	<None>	    	
172.21.16.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/20/2022	Server Authentication, Client Authentication	<None>	    	
172.21.208.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/26/2022	Server Authentication, Client Authentication	<None>	    	
